_r,_RAJ2000,_DEJ2000,Plx,pmRA,pmDE,Gmag,BPmag,RPmag,BP-RP,BP-G,G-RP
1.4902,132.8384276219797,11.821118082646,1.3042,-12.253,-2.201,19.652296,20.93655,18.520735,2.415815,1.284254,1.131561
1.5295,132.8009419381046,11.8096571564173,1.171,-10.966,-3.076,13.754309,14.05267,13.296951,0.755718,0.298361,0.457357
1.5306,132.8503616710949,11.8060908449931,1.156,-11.139,-2.903,12.679014,12.972798,12.227963,0.744835,0.293784,0.451051
1.5311,132.8001040506412,11.8074274211548,1.1779,-10.832,-2.874,14.689736,15.05479,14.160499,0.894292,0.365054,0.529238
1.5337,132.8127075215692,11.8225380717038,1.1363,-11.012,-2.693,13.987426,14.296,13.515289,0.78071,0.308574,0.472137
1.5497,132.8103232824061,11.7785501948875,0.1376,4.609,-6.258,20.071278,20.460512,19.072945,1.387568,0.389235,0.998333
1.5645,132.8505911585073,11.807420719667,1.0984,-11.044,-3.051,16.603622,17.225872,15.798269,1.427603,0.62225,0.805353
1.5864,132.8418208819954,11.8207086541351,1.1289,1.132,-5.429,20.030682,20.997423,18.887878,2.109545,0.966742,1.142803
1.5958,132.8491823864792,11.7878008990782,1.5846,-10.086,-2.986,12.632659,13.031263,12.068992,0.962272,0.398604,0.563667
1.605,132.8009159243426,11.7874662906247,1.0355,-11.01,-2.949,14.911862,15.316739,14.33896,0.977779,0.404877,0.572903
1.6265,132.8512486455227,11.791224276646,1.1481,-11.305,-3.163,14.751254,15.124778,14.211747,0.913031,0.373524,0.539507
1.6351,132.8017681420262,11.785069587692,1.3139,-10.747,-2.62,17.150425,17.990902,16.201706,1.789196,0.840477,0.948719
1.6449,132.8033217796222,11.8173592523127,,,,20.85723,21.39331,19.957602,1.435709,0.536081,0.899628
1.6469,132.8418799344448,11.7780583943245,1.1692,-11.043,-3.032,13.048145,13.34153,12.594254,0.747276,0.293385,0.453892
1.6689,132.8202618780156,11.8274306519919,1.1464,-11.082,-2.983,15.765214,16.41478,15.000711,1.414068,0.649566,0.764502
1.6733,132.8535196568909,11.8011233851218,1.0702,-11.262,-2.385,14.304366,14.693179,13.748766,0.944413,0.388813,0.5556
1.6753,132.8296851225054,11.8275602891435,1.9819,-11.976,-2.145,19.896,20.926071,18.743292,2.182779,1.030071,1.152708
1.6862,132.8502186495687,11.7865880134927,0.9626,-1.278,-6.642,13.619302,13.889576,13.123279,0.766297,0.270274,0.496023
1.7019,132.8320335863609,11.8275428071595,1.1228,-10.785,-3.082,15.434878,15.876985,14.830771,1.046213,0.442106,0.604107
1.7163,132.8504900673102,11.7859408919889,1.1778,-10.845,-2.837,13.319411,13.615169,12.756721,0.858448,0.295757,0.562691
1.7182,132.8456752010466,11.8203230555639,1.1856,-10.656,-3.118,13.152652,13.391607,12.764563,0.627045,0.238955,0.388089
1.7347,132.8479313129735,11.8182972573408,1.1473,-11.068,-2.995,15.922245,16.451397,15.235978,1.215419,0.529152,0.686267
1.7371,132.7980315498203,11.8118781031082,0.883,-4.022,-6.959,17.71132,18.309029,16.98976,1.319269,0.597708,0.721561
1.7593,132.834451682099,11.7721689951004,2.5056,-9.711,-1.63,17.405558,17.85593,16.075253,1.780678,0.450373,1.330305
1.7718,132.7985109728642,11.8140540453619,1.1583,-11.377,-2.961,13.630787,13.930822,13.168488,0.762335,0.300035,0.462299
